index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,241,恩施州,1.7,241,241,96,17,274,191,重度污染,362.0000,42,2014-12
1,155,恩施州,1.21,237,36,42,38,165,119,中度污染,278.0968,35,2015-01
2,108,恩施州,1.296,202,30,24,55,101,81,轻度污染,226.2143,11,2015-02
3,85,恩施州,1.1,168,41,22,63,87,62,良,195.5806,12,2015-03
4,67,恩施州,0.917,127,33,19,75,73,47,良,136.2000,17,2015-04
5,66,恩施州,0.881,104,37,18,85,64,42,良,147.5161,13,2015-05
6,52,恩施州,0.863,79,33,15,76,50,32,良,127.2667,13,2015-06
7,59,恩施州,0.613,102,30,14,104,46,30,良,151.1935,8,2015-07
8,53,恩施州,0.668,85,33,9,90,48,32,良,125.9032,7,2015-08
9,65,恩施州,0.347,110,30,7,79,64,45,良,186.3333,6,2015-09
10,81,恩施州,0.671,210,25,17,53,85,58,良,185.1613,12,2015-10
11,54,恩施州,0.64,97,23,21,19,57,37,良,108.6667,11,2015-11
12,81,恩施州,0.539,198,30,23,23,84,60,良,158.4194,12,2015-12
13,107,恩施州,0.645,198,52,28,29,104,79,轻度污染,233.4194,10,2016-01
14,87,恩施州,0.455,124,28,31,46,91,64,良,206.3103,7,2016-02
15,79,恩施州,0.765,138,34,24,53,88,56,良,167.7419,10,2016-03
16,55,恩施州,0.68,85,32,18,60,60,36,良,92.3000,11,2016-04
17,53,恩施州,0.587,105,32,11,75,58,32,良,83.0645,7,2016-05
18,44,恩施州,0.583,71,25,10,66,42,24,优,77.6667,6,2016-06
19,41,恩施州,0.571,60,20,6,70,35,21,优,84.2258,5,2016-07
20,49,恩施州,0.455,67,26,9,76,50,30,优,107.6129,7,2016-08
21,73,恩施州,0.557,105,32,12,76,78,53,良,212.8000,8,2016-09
22,50,恩施州,0.932,97,25,20,45,51,34,良,126.3548,8,2016-10
23,66,恩施州,1.25,113,28,28,30,67,48,良,138.9000,22,2016-11
24,123,恩施州,1.255,213,73,42,25,120,93,轻度污染,246.5484,19,2016-12
25,133,恩施州,1.161,298,48,37,29,125,103,轻度污染,255.5161,13,2017-01
26,73,恩施州,0.868,130,31,24,44,69,55,良,167.5714,11,2017-02
27,60,恩施州,0.684,86,27,30,62,61,42,良,152.6774,14,2017-03
28,55,恩施州,0.757,80,34,27,66,56,36,良,138.0667,12,2017-04
29,57,恩施州,0.794,98,29,23,81,51,34,良,146.1935,11,2017-05
30,60,恩施州,0.91,103,32,17,106,41,29,良,147.1667,7,2017-06
31,64,恩施州,0.819,115,22,15,110,37,23,良,138.9355,6,2017-07
32,59,恩施州,0.994,91,36,14,107,41,25,良,179.2903,7,2017-08
33,47,恩施州,1.193,86,25,17,73,42,28,优,138.0333,6,2017-09
34,43,恩施州,1.219,80,26,22,51,41,28,优,132.4516,5,2017-10
35,72,恩施州,1.147,142,41,25,46,76,54,良,206.6333,7,2017-11
36,122,恩施州,1.403,212,46,30,28,120,90,轻度污染,257.4194,8,2017-12
37,91,恩施州,1.471,207,35,28,40,86,68,良,191.4516,8,2018-01
38,91,恩施州,1.261,163,39,25,56,87,67,良,220.1071,5,2018-02
39,49,恩施州,1.0,82,25,25,58,50,33,优,66.2258,7,2018-03
40,57,恩施州,0.883,88,32,28,73,65,35,良,107.6000,6,2018-04
41,48,恩施州,0.984,77,30,27,62,50,30,优,75.7742,5,2018-05
42,48,恩施州,0.973,83,27,20,78,47,28,优,72.6333,7,2018-06
43,41,恩施州,0.961,77,25,17,73,38,23,优,112.2581,6,2018-07
44,49,恩施州,1.035,74,30,17,90,42,23,优,166.0968,9,2018-08
45,42,恩施州,0.97,57,28,18,60,38,20,优,147.2667,6,2018-09
46,50,恩施州,0.835,68,33,24,49,54,28,良,156.7419,6,2018-10
47,54,恩施州,0.993,112,23,25,29,59,33,良,117.5667,6,2018-11
48,76,恩施州,1.077,214,33,26,27,82,52,良,197.4194,7,2018-12
49,61,恩施州,0.8,77,54,27,16,65,43,良,133.5000,4,2019-01
